imdbID,tmdbID,imdbRating,tmdbRating,genres,countries,year,runtime,title,overview,originalLanguage,posterURLs.original,streamingInfo.disney.us.added,streamingInfo.disney.us.leaving,streamingInfo.paramount.us.added,streamingInfo.paramount.us.leaving,streamingInfo.showtime.us.added,streamingInfo.showtime.us.leaving,streamingInfo.hulu.us.added,streamingInfo.hulu.us.leaving,streamingInfo.netflix.us.added,streamingInfo.netflix.us.leaving,streamingInfo.prime.us.added,streamingInfo.prime.us.leaving,streamingInfo.hbo.us.added,streamingInfo.hbo.us.leaving,streamingInfo.zee5.us.added,streamingInfo.zee5.us.leaving,streamingInfo.peacock.us.added,streamingInfo.peacock.us.leaving,streamingInfo.starz.us.added,streamingInfo.starz.us.leaving,streamingInfo.mubi.us.added,streamingInfo.mubi.us.leaving,streamingInfo.apple.us.added,streamingInfo.apple.us.leaving
tt1010048,12405,80,77,"Crime, Drama, Romance","['FR', 'GB', 'US']",2008,120,Slumdog Millionaire,"A teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",en,https://image.tmdb.org/t/p/original/5leCCi7ZF0CawAfM5Qo2ECKPprc.jpg,,,,,,,,,,,,,1664829033.0,16961436000.0,,,,,,,,,,
tt1187043,20453,84,79,"Comedy, Drama",['IN'],2009,170,3 Idiots,"Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school’s uptight and heartless dean. But when Rancho catches the eye of the dean's sexy daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.",hi,https://image.tmdb.org/t/p/original/66A9MqXOyVFCssoloscw79z8Tew.jpg,,,,,,,,,1617317569.0,0.0,,,,,,,,,,,,,,
tt0120737,120,88,83,"Action, Adventure","['NZ', 'US']",2001,179,The Lord of the Rings: The Fellowship of the Ring,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",en,https://image.tmdb.org/t/p/original/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,,,,,,,,,,,1659621185.0,0.0,1655511487.0,0.0,,,,,,,,,,
tt3748528,330459,78,74,"Action, Adventure, Science Fiction",['US'],2016,133,Rogue One: A Star Wars Story,A rogue band of resistance fighters unite for a mission to steal the Death Star plans and bring a new hope to the galaxy.,en,https://image.tmdb.org/t/p/original/i0yw1mFbB7sNGHCs7EXZPzFkdA1.jpg,1606712672.0,0.0,,,,,,,,,,,,,,,,,,,,,,
tt0783233,4347,78,76,"Drama, Mystery, Romance","['GB', 'FR', 'US']",2007,123,Atonement,"As a 13-year-old, fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.",en,https://image.tmdb.org/t/p/original/hMRIyBjPzxaSXWM06se3OcNjIQa.jpg,,,,,,,,,,,,,1655502512.0,16776576000.0,,,,,,,,,,
tt0093058,600,83,81,"Drama, War","['GB', 'US']",1987,117,Full Metal Jacket,A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,en,https://image.tmdb.org/t/p/original/kMKyx1k8hWWscYFnPbnxxN4Eqo4.jpg,,,,,,,,,,,,,1664791626.0,0.0,,,,,,,,,,
tt0286244,9662,77,73,"Animation, Comedy, Drama","['BE', 'CA', 'FR', 'LV', 'GB']",2003,80,The Triplets of Belleville,"When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters—an aged song-and-dance team from the days of Fred Astaire—to rescue him.",fr,https://image.tmdb.org/t/p/original/flHYQswYEIvBL2QsQLEJJzTJDyS.jpg,,,,,,,,,,,,,,,,,,,,,,,,
tt0325710,616,78,75,"Action, Drama","['JP', 'US', 'NZ']",2003,154,The Last Samurai,"Nathan Algren is an American hired to instruct the Japanese army in the ways of modern warfare, which finds him learning to respect the samurai and the honorable principles that rule them. Pressed to destroy the samurai's way of life in the name of modernization and open trade, Algren decides to become an ultimate warrior himself and to fight for their right to exist.",en,https://image.tmdb.org/t/p/original/lsasOSgYI85EHygtT5SvcxtZVYT.jpg,,,,,,,,,,,,,,,,,,,,,,,,
tt1954470,117691,82,71,"Action, Crime",['IN'],2012,160,Gangs of Wasseypur - Part 1,"Shahid Khan is exiled after impersonating the legendary Sultana Daku in order to rob British trains. Now outcast, Shahid becomes a worker at Ramadhir Singh's colliery, only to spur a revenge battle that passes on to generations. At the turn of the decade, Shahid's son, the philandering Sardar Khan vows to get his father's honor back, becoming the most feared man of Wasseypur.",hi,https://image.tmdb.org/t/p/original/yd7ltAY4j2tRrLAFpVVqh9EhahC.jpg,,,,,,,,,,,,,,,,,,,,,1663684046.0,0.0,,
tt0087332,620,78,74,"Action, Comedy, Fantasy",['US'],1984,107,Ghostbusters,"After losing their academic posts at a prestigious university, a team of parapsychologists goes into business as proton-pack-toting ""ghostbusters"" who exterminate ghouls, hobgoblins and supernatural pests of all stripes. An ad campaign pays off when a knockout cellist hires the squad to purge her swanky digs of demons that appear to be living in her refrigerator.",en,https://image.tmdb.org/t/p/original/di9t2YVpWDKuUtYkrm10yVld50x.jpg,,,,,,,,,,,,,,,,,,,,,,,,
